"time","agua.mean_Calidad","agua.mean_Caudal","agua.mean_aguaTinaco","agua.mean_aguacisterna"
"2022-07-14T19:00:00.000-05:00",,,,
"2022-07-14T21:00:00.000-05:00",,,,
"2022-07-14T23:00:00.000-05:00",,,,
"2022-07-15T01:00:00.000-05:00",,,,
"2022-07-15T03:00:00.000-05:00",,,,
"2022-07-15T05:00:00.000-05:00",,,,
"2022-07-15T07:00:00.000-05:00",,,,
"2022-07-15T09:00:00.000-05:00",,,,
"2022-07-15T11:00:00.000-05:00",,,,
"2022-07-15T13:00:00.000-05:00",,,,
"2022-07-15T15:00:00.000-05:00",,,,
"2022-07-15T17:00:00.000-05:00",,,,
"2022-07-15T19:00:00.000-05:00",,,,
"2022-07-15T21:00:00.000-05:00",,,,
"2022-07-15T23:00:00.000-05:00",,,,
"2022-07-16T01:00:00.000-05:00",,,,
"2022-07-16T03:00:00.000-05:00",,,,
"2022-07-16T05:00:00.000-05:00",,,,
"2022-07-16T07:00:00.000-05:00",,,,
"2022-07-16T09:00:00.000-05:00",,,,
"2022-07-16T11:00:00.000-05:00",,,,
"2022-07-16T13:00:00.000-05:00",,,,
"2022-07-16T15:00:00.000-05:00",,,,
"2022-07-16T17:00:00.000-05:00",,,,
"2022-07-16T19:00:00.000-05:00",,,,
"2022-07-16T21:00:00.000-05:00",,,,
"2022-07-16T23:00:00.000-05:00",,,,
"2022-07-17T01:00:00.000-05:00",,,,
"2022-07-17T03:00:00.000-05:00",,,,
"2022-07-17T05:00:00.000-05:00",,,,
"2022-07-17T07:00:00.000-05:00",,,,
"2022-07-17T09:00:00.000-05:00",,,,
"2022-07-17T11:00:00.000-05:00",,,,
"2022-07-17T13:00:00.000-05:00",,,,
"2022-07-17T15:00:00.000-05:00",,,,
"2022-07-17T17:00:00.000-05:00",,,,
"2022-07-17T19:00:00.000-05:00",,,,
"2022-07-17T21:00:00.000-05:00",,,,
"2022-07-17T23:00:00.000-05:00",,,,
"2022-07-18T01:00:00.000-05:00",,,,
"2022-07-18T03:00:00.000-05:00",,,,
"2022-07-18T05:00:00.000-05:00",,,,
"2022-07-18T07:00:00.000-05:00",,,,
"2022-07-18T09:00:00.000-05:00",,,,
"2022-07-18T11:00:00.000-05:00",,,,
"2022-07-18T13:00:00.000-05:00",,,,
"2022-07-18T15:00:00.000-05:00",,,,
"2022-07-18T17:00:00.000-05:00",,,,
"2022-07-18T19:00:00.000-05:00",,,,
"2022-07-18T21:00:00.000-05:00",,,,
"2022-07-18T23:00:00.000-05:00",,,,
"2022-07-19T01:00:00.000-05:00",,,,
"2022-07-19T03:00:00.000-05:00",,,,
"2022-07-19T05:00:00.000-05:00",,,,
"2022-07-19T07:00:00.000-05:00",,,,
"2022-07-19T09:00:00.000-05:00",,,,
"2022-07-19T11:00:00.000-05:00",,,,
"2022-07-19T13:00:00.000-05:00",,,,
"2022-07-19T15:00:00.000-05:00",,,,
"2022-07-19T17:00:00.000-05:00",,,,
"2022-07-19T19:00:00.000-05:00",,,,
"2022-07-19T21:00:00.000-05:00",,,,
"2022-07-19T23:00:00.000-05:00",,,,
"2022-07-20T01:00:00.000-05:00",,,,
"2022-07-20T03:00:00.000-05:00",,,,
"2022-07-20T05:00:00.000-05:00",,,,
"2022-07-20T07:00:00.000-05:00",,,,
"2022-07-20T09:00:00.000-05:00",,,,
"2022-07-20T11:00:00.000-05:00",,,,
"2022-07-20T13:00:00.000-05:00",,,,
"2022-07-20T15:00:00.000-05:00",,,,
"2022-07-20T17:00:00.000-05:00",,,,
"2022-07-20T19:00:00.000-05:00",,,,
"2022-07-20T21:00:00.000-05:00",,,,
"2022-07-20T23:00:00.000-05:00",,,,
"2022-07-21T01:00:00.000-05:00",,,,
"2022-07-21T03:00:00.000-05:00",,,,
"2022-07-21T05:00:00.000-05:00",,,,
"2022-07-21T07:00:00.000-05:00",,,,
"2022-07-21T09:00:00.000-05:00",,,,
"2022-07-21T11:00:00.000-05:00",,,,
"2022-07-21T13:00:00.000-05:00",,,,
"2022-07-21T15:00:00.000-05:00","258.42458041774086","1.7054953560371517","120.71766848816029","432.7067901234568"
"2022-07-21T17:00:00.000-05:00",,,,
"2022-07-21T19:00:00.000-05:00",,,,
"2022-07-21T21:00:00.000-05:00",,,,
